1997,1024.0,640.0,0.0,38.0,114.0,70.0,40.0,4.0,420.0,95.0
1998,1280.0,640.0,1.0,38.0,114.0,50.0,0.0,4.0,420.0,158.0
2000,640.0,0.0,0.0,45.0,45.0,0.0,0.0,2.0,0.0,0.0
1999,1152.0,640.0,0.0,35.0,35.0,0.0,0.0,4.0,0.0,0.0
1999,1152.0,640.0,0.0,43.0,43.0,50.0,0.0,40.0,300.0,128.0
2001,1600.0,640.0,1.0,51.0,51.0,50.0,20.0,8.0,270.0,119.0
1999,1280.0,640.0,1.0,34.0,102.0,0.0,0.0,8.0,0.0,0.0
1997,640.0,0.0,0.0,42.0,42.0,70.0,3.0,2.0,320.0,93.0
1996,832.0,640.0,0.0,50.0,50.0,40.0,10.0,1.0,460.0,160.0
2001,1280.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,375.0,110.0
2002,1280.0,1024.0,1.0,39.0,39.0,20.0,5.0,8.0,225.0,110.0
2001,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,375.0,110.0
2002,1600.0,1024.0,1.0,39.0,39.0,20.0,5.0,8.0,225.0,110.0
2002,1280.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,350.0,110.0
2003,2048.0,1600.0,3.0,33.0,33.0,20.0,5.0,32.0,225.0,111.0
2004,2048.0,1600.0,3.0,33.0,33.0,0.0,5.0,0.0,205.0,110.0
2002,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,350.0,110.0
2004,2048.0,1600.0,3.0,45.0,100.0,0.0,5.0,16.0,255.0,107.0
2005,2048.0,1600.0,3.0,41.0,131.0,0.0,1.0,16.0,195.0,103.0
2006,2272.0,1600.0,4.0,39.0,125.0,47.0,1.0,16.0,200.0,103.0
2006,2272.0,1600.0,4.0,39.0,156.0,47.0,1.0,16.0,210.0,103.0
2007,2592.0,2048.0,5.0,38.0,122.0,47.0,1.0,16.0,215.0,106.0
2007,2592.0,2048.0,5.0,38.0,152.0,47.0,1.0,16.0,215.0,106.0
1998,1024.0,512.0,0.0,35.0,35.0,50.0,9.0,8.0,240.0,105.0
1999,1280.0,640.0,1.0,28.0,70.0,50.0,17.0,8.0,290.0,103.0
2005,2048.0,1600.0,3.0,35.0,140.0,0.0,5.0,16.0,230.0,91.0
2005,2272.0,1600.0,3.0,35.0,140.0,0.0,5.0,16.0,230.0,91.0
2006,2592.0,2048.0,5.0,35.0,140.0,45.0,5.0,16.0,220.0,90.0
2006,2816.0,2272.0,6.0,35.0,140.0,45.0,5.0,16.0,230.0,90.0
2007,3072.0,2592.0,7.0,35.0,140.0,45.0,5.0,16.0,210.0,91.0
2007,3072.0,2592.0,7.0,35.0,140.0,45.0,5.0,16.0,205.0,91.0
2007,3072.0,2592.0,7.0,35.0,140.0,45.0,5.0,16.0,215.0,90.0
1999,1024.0,512.0,0.0,28.0,70.0,50.0,17.0,8.0,290.0,103.0
2003,1600.0,1024.0,1.0,35.0,105.0,46.0,5.0,16.0,315.0,101.0
2005,2592.0,2592.0,5.0,35.0,140.0,0.0,1.0,16.0,285.0,105.0
2005,3072.0,3072.0,7.0,35.0,140.0,0.0,1.0,32.0,285.0,105.0
2006,3264.0,2592.0,8.0,35.0,140.0,0.0,1.0,16.0,315.0,109.0
2006,3648.0,2816.0,10.0,35.0,140.0,0.0,1.0,32.0,315.0,109.0
2007,4000.0,3264.0,12.0,35.0,210.0,0.0,1.0,32.0,300.0,97.0
2003,2048.0,1600.0,3.0,35.0,105.0,46.0,5.0,16.0,315.0,101.0
2006,2816.0,2272.0,6.0,35.0,210.0,55.0,1.0,16.0,250.0,94.0
2006,3072.0,2592.0,7.0,35.0,210.0,55.0,1.0,16.0,210.0,98.0
2007,3264.0,2592.0,8.0,35.0,210.0,55.0,1.0,16.0,250.0,97.0
2004,2048.0,1600.0,3.0,35.0,105.0,46.0,5.0,32.0,315.0,101.0
2003,2272.0,1600.0,3.0,38.0,114.0,46.0,5.0,32.0,350.0,103.0
